date,kwh,cost
2024-11-01,7.2,5.76
2024-11-02,8.1,6.48
2024-11-03,6.5,5.20
2024-11-04,9.3,7.44
2024-11-05,11.2,8.96
2024-11-06,10.8,8.64
2024-11-07,12.1,9.68
2024-11-08,7.9,6.32
2024-11-09,8.4,6.72
2024-11-10,7.6,6.08
2024-11-11,9.1,7.28
2024-11-12,8.8,7.04
2024-11-13,7.3,5.84
2024-11-14,8.0,6.40
2024-11-15,9.7,7.76
2024-11-16,10.2,8.16
2024-11-17,11.5,9.20
2024-11-18,8.6,6.88
2024-11-19,7.8,6.24
2024-11-20,8.2,6.56
2024-11-21,9.4,7.52
2024-11-22,10.1,8.08
2024-11-23,9.8,7.84
2024-11-24,8.5,6.80
2024-11-25,7.9,6.32
2024-11-26,8.3,6.64
2024-11-27,9.0,7.20
2024-11-28,10.5,8.40
2024-11-29,9.2,7.36
2024-11-30,8.7,6.96
