date,kwh,cost
2022-01-01,115.9,104.31
2022-01-02,109.8,98.82
2022-01-03,87.0,78.3
2022-01-04,110.0,99.0
2022-01-05,105.4,94.86
2022-01-06,106.0,95.4
2022-01-07,97.0,87.3
2022-01-08,84.0,75.6
2022-01-09,102.2,91.98
2022-01-10,103.6,93.24
2022-01-11,109.6,98.64
2022-01-12,110.4,99.36
2022-01-13,110.5,99.45
2022-01-14,81.2,73.08
2022-01-15,94.3,84.87
2022-01-16,102.4,92.16
2022-01-17,111.3,100.17
2022-01-18,110.9,99.81
2022-01-19,118.4,106.56
2022-01-20,108.0,97.2
2022-01-21,109.9,98.91
2022-01-22,93.4,84.06
2022-01-23,117.2,105.48
2022-01-24,81.8,73.62
2022-01-25,92.7,83.43
2022-01-26,98.1,88.29
2022-01-27,96.9,87.21
2022-01-28,112.5,101.25
2022-01-29,102.3,92.07
2022-01-30,98.9,89.01
2022-01-31,110.4,99.36
2022-02-01,86.2,77.58
2022-02-02,86.8,78.12
2022-02-03,92.6,83.34
2022-02-04,110.4,99.36
2022-02-05,103.5,93.15
2022-02-06,86.5,77.85
2022-02-07,111.2,100.08
2022-02-08,87.6,78.84
2022-02-09,93.2,83.88
2022-02-10,80.5,72.45
2022-02-11,90.7,81.63
2022-02-12,106.8,96.12
2022-02-13,89.9,80.91
2022-02-14,83.6,75.24
2022-02-15,118.4,106.56
2022-02-16,101.3,91.17
2022-02-17,115.4,103.86
2022-02-18,104.6,94.14
2022-02-19,109.7,98.73
2022-02-20,96.4,86.76
2022-02-21,113.9,102.51
2022-02-22,112.9,101.61
2022-02-23,106.1,95.49
2022-02-24,110.5,99.45
2022-02-25,112.3,101.07
2022-02-26,114.0,102.6
2022-02-27,105.4,94.86
2022-02-28,84.0,75.6
2022-03-01,84.7,76.23
2022-03-02,103.7,93.33
2022-03-03,98.2,88.38
2022-03-04,88.9,80.01
2022-03-05,115.4,103.86
2022-03-06,90.1,81.09
2022-03-07,109.8,98.82
2022-03-08,96.0,86.4
2022-03-09,119.8,107.82
2022-03-10,90.1,81.09
2022-03-11,95.8,86.22
2022-03-12,108.9,98.01
2022-03-13,91.4,82.26
2022-03-14,85.6,77.04
2022-03-15,108.5,97.65
2022-03-16,116.3,104.67
2022-03-17,94.4,84.96
2022-03-18,111.2,100.08
2022-03-19,102.2,91.98
2022-03-20,84.3,75.87
2022-03-21,89.7,80.73
2022-03-22,89.5,80.55
2022-03-23,103.3,92.97
2022-03-24,93.2,83.88
2022-03-25,91.5,82.35
2022-03-26,82.6,74.34
2022-03-27,112.2,100.98
2022-03-28,102.2,91.98
2022-03-29,85.9,77.31
2022-03-30,94.6,85.14
2022-03-31,80.5,72.45
2022-04-01,88.5,79.65
2022-04-02,110.4,99.36
2022-04-03,104.4,93.96
2022-04-04,115.2,103.68
2022-04-05,86.7,78.03
2022-04-06,81.1,72.99
2022-04-07,99.8,89.82
2022-04-08,93.3,83.97
2022-04-09,96.4,86.76
2022-04-10,88.6,79.74
2022-04-11,107.4,96.66
2022-04-12,100.9,90.81
2022-04-13,99.2,89.28
2022-04-14,89.9,80.91
2022-04-15,104.0,93.6
2022-04-16,103.1,92.79
2022-04-17,111.8,100.62
2022-04-18,88.3,79.47
2022-04-19,95.2,85.68
2022-04-20,84.8,76.32
2022-04-21,118.2,106.38
2022-04-22,115.4,103.86
2022-04-23,97.3,87.57
2022-04-24,91.0,81.9
2022-04-25,114.0,102.6
2022-04-26,114.3,102.87
2022-04-27,118.0,106.2
2022-04-28,119.1,107.19
2022-04-29,107.7,96.93
2022-04-30,96.2,86.58
2022-05-01,118.4,106.56
2022-05-02,85.3,76.77
2022-05-03,100.5,90.45
2022-05-04,104.2,93.78
2022-05-05,104.4,93.96
2022-05-06,108.9,98.01
2022-05-07,109.0,98.1
2022-05-08,102.9,92.61
2022-05-09,86.9,78.21
2022-05-10,111.5,100.35
2022-05-11,90.1,81.09
2022-05-12,86.2,77.58
2022-05-13,80.3,72.27
2022-05-14,98.5,88.65
2022-05-15,112.8,101.52
2022-05-16,95.8,86.22
2022-05-17,117.5,105.75
2022-05-18,86.1,77.49
2022-05-19,96.3,86.67
2022-05-20,111.0,99.9
2022-05-21,107.9,97.11
2022-05-22,111.3,100.17
2022-05-23,98.4,88.56
2022-05-24,108.0,97.2
2022-05-25,105.2,94.68
2022-05-26,85.4,76.86
2022-05-27,98.5,88.65
2022-05-28,95.2,85.68
2022-05-29,88.7,79.83
2022-05-30,115.0,103.5
2022-05-31,93.4,84.06
2022-06-01,82.5,74.25
2022-06-02,83.5,75.15
2022-06-03,108.2,97.38
2022-06-04,99.8,89.82
2022-06-05,96.9,87.21
2022-06-06,107.4,96.66
2022-06-07,93.8,84.42
2022-06-08,106.7,96.03
2022-06-09,89.6,80.64
2022-06-10,112.1,100.89
2022-06-11,109.2,98.28
2022-06-12,83.5,75.15
2022-06-13,104.1,93.69
2022-06-14,110.6,99.54
2022-06-15,102.9,92.61
2022-06-16,92.9,83.61
2022-06-17,100.5,90.45
2022-06-18,118.5,106.65
2022-06-19,118.6,106.74
2022-06-20,117.4,105.66
2022-06-21,100.8,90.72
2022-06-22,90.7,81.63
2022-06-23,117.0,105.3
2022-06-24,94.9,85.41
2022-06-25,86.2,77.58
2022-06-26,84.8,76.32
2022-06-27,92.5,83.25
2022-06-28,90.0,81.0
2022-06-29,110.0,99.0
2022-06-30,114.0,102.6
2022-07-01,119.6,107.64
2022-07-02,93.7,84.33
2022-07-03,106.4,95.76
2022-07-04,92.5,83.25
2022-07-05,81.2,73.08
2022-07-06,87.2,78.48
2022-07-07,83.6,75.24
2022-07-08,114.1,102.69
2022-07-09,96.9,87.21
2022-07-10,86.1,77.49
2022-07-11,98.2,88.38
2022-07-12,99.2,89.28
2022-07-13,91.2,82.08
2022-07-14,116.0,104.4
2022-07-15,84.2,75.78
2022-07-16,90.0,81.0
2022-07-17,108.3,97.47
2022-07-18,101.2,91.08
2022-07-19,110.6,99.54
2022-07-20,118.1,106.29
2022-07-21,113.4,102.06
2022-07-22,109.8,98.82
2022-07-23,111.1,99.99
2022-07-24,97.5,87.75
2022-07-25,104.2,93.78
2022-07-26,117.7,105.93
2022-07-27,118.9,107.01
2022-07-28,94.9,85.41
2022-07-29,115.2,103.68
2022-07-30,94.4,84.96
2022-07-31,86.5,77.85
2022-08-01,93.2,83.88
2022-08-02,109.9,98.91
2022-08-03,84.5,76.05
2022-08-04,96.4,86.76
2022-08-05,114.9,103.41
2022-08-06,113.8,102.42
2022-08-07,116.0,104.4
2022-08-08,107.1,96.39
2022-08-09,111.1,99.99
2022-08-10,108.0,97.2
2022-08-11,86.7,78.03
2022-08-12,119.5,107.55
2022-08-13,91.1,81.99
2022-08-14,117.7,105.93
2022-08-15,89.8,80.82
2022-08-16,81.2,73.08
2022-08-17,116.9,105.21
2022-08-18,104.9,94.41
2022-08-19,93.2,83.88
2022-08-20,87.1,78.39
2022-08-21,119.8,107.82
2022-08-22,95.3,85.77
2022-08-23,92.2,82.98
2022-08-24,105.7,95.13
2022-08-25,110.0,99.0
2022-08-26,91.1,81.99
2022-08-27,118.0,106.2
2022-08-28,89.8,80.82
2022-08-29,100.7,90.63
2022-08-30,84.5,76.05
2022-08-31,117.0,105.3
2022-09-01,84.0,75.6
2022-09-02,87.1,78.39
2022-09-03,88.1,79.29
2022-09-04,106.2,95.58
2022-09-05,116.9,105.21
2022-09-06,110.2,99.18
2022-09-07,103.4,93.06
2022-09-08,108.7,97.83
2022-09-09,113.0,101.7
2022-09-10,116.8,105.12
2022-09-11,91.8,82.62
2022-09-12,117.9,106.11
2022-09-13,80.7,72.63
2022-09-14,112.9,101.61
2022-09-15,114.7,103.23
2022-09-16,119.0,107.1
2022-09-17,108.3,97.47
2022-09-18,101.3,91.17
2022-09-19,97.3,87.57
2022-09-20,113.7,102.33
2022-09-21,87.5,78.75
2022-09-22,83.6,75.24
2022-09-23,104.2,93.78
2022-09-24,108.3,97.47
2022-09-25,117.2,105.48
2022-09-26,107.5,96.75
2022-09-27,111.5,100.35
2022-09-28,96.6,86.94
2022-09-29,96.4,86.76
2022-09-30,116.5,104.85
2022-10-01,109.1,98.19
2022-10-02,118.5,106.65
2022-10-03,96.1,86.49
2022-10-04,93.4,84.06
2022-10-05,80.8,72.72
2022-10-06,84.3,75.87
2022-10-07,92.4,83.16
2022-10-08,88.4,79.56
2022-10-09,99.9,89.91
2022-10-10,85.3,76.77
2022-10-11,87.6,78.84
2022-10-12,84.1,75.69
2022-10-13,86.0,77.4
2022-10-14,106.6,95.94
2022-10-15,112.9,101.61
2022-10-16,95.3,85.77
2022-10-17,88.3,79.47
2022-10-18,109.5,98.55
2022-10-19,116.0,104.4
2022-10-20,104.0,93.6
2022-10-21,88.6,79.74
2022-10-22,81.4,73.26
2022-10-23,83.1,74.79
2022-10-24,119.6,107.64
2022-10-25,94.8,85.32
2022-10-26,103.0,92.7
2022-10-27,83.9,75.51
2022-10-28,101.6,91.44
2022-10-29,100.7,90.63
2022-10-30,109.0,98.1
2022-10-31,109.6,98.64
2022-11-01,106.4,95.76
2022-11-02,114.0,102.6
2022-11-03,96.8,87.12
2022-11-04,116.9,105.21
2022-11-05,95.2,85.68
2022-11-06,106.2,95.58
2022-11-07,93.8,84.42
2022-11-08,93.1,83.79
2022-11-09,82.7,74.43
2022-11-10,97.4,87.66
2022-11-11,92.7,83.43
2022-11-12,94.5,85.05
2022-11-13,105.8,95.22
2022-11-14,86.2,77.58
2022-11-15,89.3,80.37
2022-11-16,86.2,77.58
2022-11-17,97.6,87.84
2022-11-18,98.7,88.83
2022-11-19,88.0,79.2
2022-11-20,83.9,75.51
2022-11-21,114.2,102.78
2022-11-22,88.6,79.74
2022-11-23,98.1,88.29
2022-11-24,87.7,78.93
2022-11-25,109.8,98.82
2022-11-26,83.2,74.88
2022-11-27,88.4,79.56
2022-11-28,87.9,79.11
2022-11-29,101.0,90.9
2022-11-30,99.3,89.37
2022-12-01,88.8,79.92
2022-12-02,96.2,86.58
2022-12-03,80.1,72.09
2022-12-04,92.6,83.34
2022-12-05,106.5,95.85
