date,kwh,cost
2022-01-01,11.4,10.26
2022-01-02,12.8,11.52
2022-01-03,12.4,11.16
2022-01-04,13.2,11.88
2022-01-05,10.3,9.27
2022-01-06,13.4,12.06
2022-01-07,11.2,10.08
2022-01-08,12.1,10.89
2022-01-09,13.2,11.88
2022-01-10,11.3,10.17
2022-01-11,12.5,11.25
2022-01-12,11.5,10.35
2022-01-13,11.2,10.08
2022-01-14,13.1,11.79
2022-01-15,10.1,9.09
2022-01-16,12.1,10.89
2022-01-17,12.5,11.25
2022-01-18,10.6,9.54
2022-01-19,11.6,10.44
2022-01-20,10.2,9.18
2022-01-21,13.2,11.88
2022-01-22,11.9,10.71
2022-01-23,10.9,9.81
2022-01-24,13.4,12.06
2022-01-25,10.8,9.72
2022-01-26,10.2,9.18
2022-01-27,10.3,9.27
2022-01-28,11.6,10.44
2022-01-29,10.6,9.54
2022-01-30,12.5,11.25
2022-01-31,12.0,10.8
2022-02-01,12.9,11.61
2022-02-02,13.1,11.79
2022-02-03,9.9,8.91
2022-02-04,11.6,10.44
2022-02-05,10.0,9.0
2022-02-06,12.7,11.43
2022-02-07,12.6,11.34
2022-02-08,11.3,10.17
2022-02-09,11.4,10.26
2022-02-10,13.3,11.97
2022-02-11,11.7,10.53
2022-02-12,11.8,10.62
2022-02-13,10.0,9.0
2022-02-14,10.9,9.81
2022-02-15,12.0,10.8
2022-02-16,12.3,11.07
2022-02-17,12.2,10.98
2022-02-18,11.9,10.71
2022-02-19,11.8,10.62
2022-02-20,10.2,9.18
2022-02-21,9.5,8.55
2022-02-22,10.2,9.18
2022-02-23,9.8,8.82
2022-02-24,12.2,10.98
2022-02-25,11.5,10.35
2022-02-26,12.0,10.8
2022-02-27,11.0,9.9
2022-02-28,9.7,8.73
2022-03-01,11.6,10.44
2022-03-02,11.6,10.44
2022-03-03,10.5,9.45
2022-03-04,12.6,11.34
2022-03-05,9.2,8.28
2022-03-06,9.3,8.37
2022-03-07,11.1,9.99
2022-03-08,11.1,9.99
2022-03-09,9.0,8.1
2022-03-10,11.9,10.71
2022-03-11,9.5,8.55
2022-03-12,9.7,8.73
2022-03-13,9.9,8.91
2022-03-14,11.0,9.9
2022-03-15,11.1,9.99
2022-03-16,10.2,9.18
2022-03-17,9.4,8.46
2022-03-18,8.6,7.74
2022-03-19,10.0,9.0
2022-03-20,8.5,7.65
2022-03-21,10.0,9.0
2022-03-22,10.6,9.54
2022-03-23,10.4,9.36
